parameter w(u,v,a)/ 
101.201.1 1,
101.201.2 1,
101.201.3 1,
101.201.4 1,
101.201.5 1,
101.201.6 1,
101.201.7 1,
101.201.8 1,
101.201.9 1,
101.201.10 1,
101.201.11 1,
101.201.12 1,
101.201.13 1,
101.201.14 1,
101.201.15 1,
101.201.31 1,
101.202.1 1,
101.202.2 1,
101.202.3 1,
101.202.4 1,
101.202.5 1,
101.202.6 1,
101.202.7 1,
101.202.8 1,
101.202.9 1,
101.202.10 1,
101.202.11 1,
101.202.12 1,
101.202.13 1,
101.202.14 1,
101.202.15 1,
101.202.31 1,
101.203.1 1,
101.203.2 1,
101.203.3 1,
101.203.4 1,
101.203.5 1,
101.203.6 1,
101.203.7 1,
101.203.8 1,
101.203.9 1,
101.203.10 1,
101.203.11 1,
101.203.12 1,
101.203.13 1,
101.203.14 1,
101.203.15 1,
101.203.31 1,
102.201.16 1,
102.201.17 1,
102.201.18 1,
102.201.19 1,
102.201.20 1,
102.201.21 1,
102.201.22 1,
102.201.23 1,
102.201.24 1,
102.201.25 1,
102.201.32 1,
102.202.16 1,
102.202.17 1,
102.202.18 1,
102.202.19 1,
102.202.20 1,
102.202.21 1,
102.202.22 1,
102.202.23 1,
102.202.24 1,
102.202.25 1,
102.202.32 1,
102.203.16 1,
102.203.17 1,
102.203.18 1,
102.203.19 1,
102.203.20 1,
102.203.21 1,
102.203.22 1,
102.203.23 1,
102.203.24 1,
102.203.25 1,
102.203.32 1,
103.201.26 1,
103.201.27 1,
103.201.28 1,
103.201.29 1,
103.201.30 1,
103.201.33 1,
103.202.26 1,
103.202.27 1,
103.202.28 1,
103.202.29 1,
103.202.30 1,
103.202.33 1,
103.203.26 1,
103.203.27 1,
103.203.28 1,
103.203.29 1,
103.203.30 1,
103.203.33 1,
201.500.31 1,
201.500.32 1,
201.500.33 1,
202.500.31 1,
202.500.32 1,
202.500.33 1,
203.500.31 1,
203.500.32 1,
203.500.33 1,
301.401.1 1,
301.401.2 1,
301.401.3 1,
301.401.4 1,
301.401.5 1,
301.401.6 1,
301.401.7 1,
301.401.8 1,
301.401.9 1,
301.401.10 1,
301.401.16 1,
301.401.17 1,
301.401.18 1,
301.401.19 1,
301.401.26 1,
301.401.34 1,
302.401.1 1,
302.401.2 1,
302.401.3 1,
302.401.4 1,
302.401.5 1,
302.401.6 1,
302.401.7 1,
302.401.8 1,
302.401.9 1,
302.401.10 1,
302.401.16 1,
302.401.17 1,
302.401.18 1,
302.401.19 1,
302.401.26 1,
302.401.34 1,
303.401.1 1,
303.401.2 1,
303.401.3 1,
303.401.4 1,
303.401.5 1,
303.401.6 1,
303.401.7 1,
303.401.8 1,
303.401.9 1,
303.401.10 1,
303.401.16 1,
303.401.17 1,
303.401.18 1,
303.401.19 1,
303.401.26 1,
303.401.34 1,
301.402.11 1,
301.402.12 1,
301.402.13 1,
301.402.20 1,
301.402.21 1,
301.402.22 1,
301.402.23 1,
301.402.27 1,
301.402.28 1,
301.402.35 1,
302.402.11 1,
302.402.12 1,
302.402.13 1,
302.402.20 1,
302.402.21 1,
302.402.22 1,
302.402.23 1,
302.402.27 1,
302.402.28 1,
302.402.35 1,
303.402.11 1,
303.402.12 1,
303.402.13 1,
303.402.20 1,
303.402.21 1,
303.402.22 1,
303.402.23 1,
303.402.27 1,
303.402.28 1,
303.402.35 1,
301.403.14 1,
301.403.15 1,
301.403.24 1,
301.403.25 1,
301.403.29 1,
301.403.30 1,
301.403.36 1,
302.403.14 1,
302.403.15 1,
302.403.24 1,
302.403.25 1,
302.403.29 1,
302.403.30 1,
302.403.36 1,
303.403.14 1,
303.403.15 1,
303.403.24 1,
303.403.25 1,
303.403.29 1,
303.403.30 1,
303.403.36 1,
500.301.34 1,
500.301.35 1,
500.301.36 1,
500.302.34 1,
500.302.35 1,
500.302.36 1,
500.303.34 1,
500.303.35 1,
500.303.36 1,
611.712.1 1,
611.712.2 1,
611.712.3 1,
611.712.4 1,
611.712.5 1,
611.712.6 1,
611.712.7 1,
611.712.8 1,
611.712.9 1,
611.712.10 1,
611.712.11 1,
611.712.12 1,
611.712.13 1,
611.712.14 1,
611.712.15 1,
611.712.16 1,
611.712.17 1,
611.712.18 1,
611.712.19 1,
611.712.20 1,
611.712.21 1,
611.712.22 1,
611.712.23 1,
611.712.24 1,
611.712.25 1,
611.712.26 1,
611.712.27 1,
611.712.28 1,
611.712.29 1,
611.712.30 1,
612.677.1 1,
612.677.2 1,
612.677.3 1,
612.677.4 1,
612.677.5 1,
612.677.6 1,
612.677.7 1,
612.677.8 1,
612.677.9 1,
612.677.10 1,
612.677.11 1,
612.677.12 1,
612.677.13 1,
612.677.14 1,
612.677.15 1,
612.677.16 1,
612.677.17 1,
612.677.18 1,
612.677.19 1,
612.677.20 1,
612.677.21 1,
612.677.22 1,
612.677.23 1,
612.677.24 1,
612.677.25 1,
612.677.26 1,
612.677.27 1,
612.677.28 1,
612.677.29 1,
612.677.30 1,
612.678.1 1,
612.678.2 1,
612.678.3 1,
612.678.4 1,
612.678.5 1,
612.678.6 1,
612.678.7 1,
612.678.8 1,
612.678.9 1,
612.678.10 1,
612.678.11 1,
612.678.12 1,
612.678.13 1,
612.678.14 1,
612.678.15 1,
612.678.16 1,
612.678.17 1,
612.678.18 1,
612.678.19 1,
612.678.20 1,
612.678.21 1,
612.678.22 1,
612.678.23 1,
612.678.24 1,
612.678.25 1,
612.678.26 1,
612.678.27 1,
612.678.28 1,
612.678.29 1,
612.678.30 1,
613.626.1 1,
613.626.2 1,
613.626.3 1,
613.626.4 1,
613.626.5 1,
613.626.6 1,
613.626.7 1,
613.626.8 1,
613.626.9 1,
613.626.10 1,
613.626.11 1,
613.626.12 1,
613.626.13 1,
613.626.14 1,
613.626.15 1,
613.626.16 1,
613.626.17 1,
613.626.18 1,
613.626.19 1,
613.626.20 1,
613.626.21 1,
613.626.22 1,
613.626.23 1,
613.626.24 1,
613.626.25 1,
613.626.26 1,
613.626.27 1,
613.626.28 1,
613.626.29 1,
613.626.30 1,
613.627.1 1,
613.627.2 1,
613.627.3 1,
613.627.4 1,
613.627.5 1,
613.627.6 1,
613.627.7 1,
613.627.8 1,
613.627.9 1,
613.627.10 1,
613.627.11 1,
613.627.12 1,
613.627.13 1,
613.627.14 1,
613.627.15 1,
613.627.16 1,
613.627.17 1,
613.627.18 1,
613.627.19 1,
613.627.20 1,
613.627.21 1,
613.627.22 1,
613.627.23 1,
613.627.24 1,
613.627.25 1,
613.627.26 1,
613.627.27 1,
613.627.28 1,
613.627.29 1,
613.627.30 1,
614.623.1 1,
614.623.2 1,
614.623.3 1,
614.623.4 1,
614.623.5 1,
614.623.6 1,
614.623.7 1,
614.623.8 1,
614.623.9 1,
614.623.10 1,
614.623.11 1,
614.623.12 1,
614.623.13 1,
614.623.14 1,
614.623.15 1,
614.623.16 1,
614.623.17 1,
614.623.18 1,
614.623.19 1,
614.623.20 1,
614.623.21 1,
614.623.22 1,
614.623.23 1,
614.623.24 1,
614.623.25 1,
614.623.26 1,
614.623.27 1,
614.623.28 1,
614.623.29 1,
614.623.30 1,
615.621.1 1,
615.621.2 1,
615.621.3 1,
615.621.4 1,
615.621.5 1,
615.621.6 1,
615.621.7 1,
615.621.8 1,
615.621.9 1,
615.621.10 1,
615.621.11 1,
615.621.12 1,
615.621.13 1,
615.621.14 1,
615.621.15 1,
615.621.16 1,
615.621.17 1,
615.621.18 1,
615.621.19 1,
615.621.20 1,
615.621.21 1,
615.621.22 1,
615.621.23 1,
615.621.24 1,
615.621.25 1,
615.621.26 1,
615.621.27 1,
615.621.28 1,
615.621.29 1,
615.621.30 1,
615.648.1 1,
615.648.2 1,
615.648.3 1,
615.648.4 1,
615.648.5 1,
615.648.6 1,
615.648.7 1,
615.648.8 1,
615.648.9 1,
615.648.10 1,
615.648.11 1,
615.648.12 1,
615.648.13 1,
615.648.14 1,
615.648.15 1,
615.648.16 1,
615.648.17 1,
615.648.18 1,
615.648.19 1,
615.648.20 1,
615.648.21 1,
615.648.22 1,
615.648.23 1,
615.648.24 1,
615.648.25 1,
615.648.26 1,
615.648.27 1,
615.648.28 1,
615.648.29 1,
615.648.30 1,
616.618.1 1,
616.618.2 1,
616.618.3 1,
616.618.4 1,
616.618.5 1,
616.618.6 1,
616.618.7 1,
616.618.8 1,
616.618.9 1,
616.618.10 1,
616.618.11 1,
616.618.12 1,
616.618.13 1,
616.618.14 1,
616.618.15 1,
616.618.16 1,
616.618.17 1,
616.618.18 1,
616.618.19 1,
616.618.20 1,
616.618.21 1,
616.618.22 1,
616.618.23 1,
616.618.24 1,
616.618.25 1,
616.618.26 1,
616.618.27 1,
616.618.28 1,
616.618.29 1,
616.618.30 1,
616.623.1 1,
616.623.2 1,
616.623.3 1,
616.623.4 1,
616.623.5 1,
616.623.6 1,
616.623.7 1,
616.623.8 1,
616.623.9 1,
616.623.10 1,
616.623.11 1,
616.623.12 1,
616.623.13 1,
616.623.14 1,
616.623.15 1,
616.623.16 1,
616.623.17 1,
